STATE/UT,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING,DACOITY,ROBBERY,RIOTS,FRAUD,HURT,AGAINST WOMEN,NEGLIGENCE,OTHER,TOTAL IPC CRIMES
ANDHRA PRADESH,TOTAL,2001,4293,1742,2364,223,41351,3873,6323,34947,12033,7400,34344,130089
ARUNACHAL PRADESH,TOTAL,2001,139,66,166,24,1218,37,75,466,92,0,618,2342
ASSAM,TOTAL,2001,1877,1634,2960,546,13844,3394,995,5805,2161,2010,9315,36877
BIHAR,TOTAL,2001,7312,1776,4318,1438,24838,9108,2690,7544,3083,2406,36667,88432
CHHATTISGARH,TOTAL,2001,1454,1918,414,106,14106,1086,564,5477,2834,689,15790,38460
GOA,TOTAL,2001,71,24,18,7,1536,80,103,174,37,191,697,2341
GUJARAT,TOTAL,2001,1857,572,1996,346,37801,2379,3582,13760,4601,2924,50719,103419
HARYANA,TOTAL,2001,1326,796,898,218,15740,953,1609,4744,2677,856,15906,38759
HIMACHAL PRADESH,TOTAL,2001,205,248,252,4,2072,762,217,1403,651,483,6052,11499
JAMMU & KASHMIR,TOTAL,2001,2582,338,1212,24,5344,1509,496,318,973,357,9046,19505
JHARKHAND,TOTAL,2001,2516,1134,882,684,9567,2183,860,2254,1005,420,8777,25447
KARNATAKA,TOTAL,2001,3175,586,1118,214,32977,7038,3303,23285,3721,100,47301,109098
KERALA,TOTAL,2001,1198,1124,366,189,15873,8876,3423,19829,4611,0,54544,103847
MADHYA PRADESH,TOTAL,2001,5420,5702,1912,296,55839,4409,1913,30895,10985,3297,85143,181741
MAHARASHTRA,TOTAL,2001,4394,2604,1970,857,97044,7927,6080,30212,10342,8993,42963,171233
MANIPUR,TOTAL,2001,382,40,188,37,528,195,119,201,26,7,1097,2489
MEGHALAYA,TOTAL,2001,213,52,110,100,837,34,51,102,29,0,511,1687
MIZORAM,TOTAL,2001,51,104,4,3,2196,27,106,94,71,23,499,2246
NAGALAND,TOTAL,2001,149,34,46,11,808,3,56,37,6,19,363,1234
ODISHA,TOTAL,2001,2191,1580,1044,221,15295,1849,976,4367,3673,1589,20810,46661
PUNJAB,TOTAL,2001,1607,596,1026,129,8079,64,3047,3996,1706,2154,9204,27774
RAJASTHAN,TOTAL,2001,3245,2098,5436,100,42051,12306,7759,27485,8843,4221,62347,155185
SIKKIM,TOTAL,2001,37,16,12,0,227,4,14,35,14,7,166,444
TAMIL NADU,TOTAL,2001,3885,846,1904,164,40055,6176,2603,28429,3805,8550,76468,154801
TRIPURA,TOTAL,2001,265,204,186,26,779,169,27,412,301,31,855,2801
UTTAR PRADESH,TOTAL,2001,16751,3916,8660,943,66258,8155,8940,17816,15021,7129,57839,178129
UTTARAKHAND,TOTAL,2001,633,148,366,35,3562,470,493,830,544,441,2227,8073
WEST BENGAL,TOTAL,2001,2624,1418,1750,695,29576,3197,1804,3658,5129,2281,25260,61563
A & N ISLANDS,TOTAL,2001,13,6,4,0,198,17,20,118,29,0,323,658
CHANDIGARH,TOTAL,2001,31,36,112,5,3444,96,183,95,78,6,914,3397
D & N HAVELI,TOTAL,2001,5,12,8,0,126,5,26,29,11,0,183,350
DAMAN & DIU,TOTAL,2001,12,0,10,0,123,26,15,21,4,0,73,239
DELHI UT,TOTAL,2001,1120,762,3254,122,42205,215,2704,2011,843,432,22000,54384
LAKSHADWEEP,TOTAL,2001,1,0,0,0,21,3,1,3,0,0,17,36
PUDUCHERRY,TOTAL,2001,58,18,8,1,1171,131,31,635,66,166,2324,4068
ANDHRA PRADESH,TOTAL,2002,4334,2004,2604,200,46720,3131,7938,39839,13290,8691,36385,143610
ARUNACHAL PRADESH,TOTAL,2002,105,76,114,22,1135,41,57,401,83,0,684,2228
ASSAM,TOTAL,2002,1787,1940,3190,491,14221,3452,1334,4764,2755,1957,8575,36346
BIHAR,TOTAL,2002,7634,2080,4722,1430,25766,9275,3098,8770,3169,2497,39145,94040
CHHATTISGARH,TOTAL,2002,1321,1984,356,150,12661,1052,507,4484,2368,963,17576,37950
GOA,TOTAL,2002,54,24,18,5,1392,104,108,236,34,202,780,2440
GUJARAT,TOTAL,2002,2304,534,2030,816,37909,5580,2888,13531,4237,3258,50612,106675
HARYANA,TOTAL,2002,1336,722,854,223,15302,899,1544,4514,3699,955,16854,40152
HIMACHAL PRADESH,TOTAL,2002,215,274,276,1,1856,791,212,1476,578,482,6921,12243
JAMMU & KASHMIR,TOTAL,2002,2319,384,1348,42,5524,1382,493,366,1225,380,9390,19967
JHARKHAND,TOTAL,2002,2746,1594,936,635,10947,2448,780,2294,1313,416,12969,31439
KARNATAKA,TOTAL,2002,3258,584,1290,244,35088,7275,3424,22824,3807,152,50508,113699
KERALA,TOTAL,2002,1226,998,324,141,16720,8542,3416,19033,5078,32,55094,104200
MADHYA PRADESH,TOTAL,2002,5453,5782,1928,278,56691,4231,1801,29955,11692,3679,94923,191799
MAHARASHTRA,TOTAL,2002,4296,2704,1906,819,91819,7629,5789,29250,9111,9407,42643,165462
MANIPUR,TOTAL,2002,328,28,314,11,560,112,112,378,68,25,1074,2584
MEGHALAYA,TOTAL,2002,228,76,104,66,1047,32,50,89,23,12,419,1664
MIZORAM,TOTAL,2002,60,152,14,5,2451,28,127,112,76,13,864,2820
NAGALAND,TOTAL,2002,139,34,54,21,752,11,34,53,1,24,292,1114
ODISHA,TOTAL,2002,2505,1382,1046,276,14365,2003,1051,4947,3208,2672,20755,47728
PUNJAB,TOTAL,2002,1540,598,1102,133,7964,70,3128,4453,1596,2310,9713,28794
RAJASTHAN,TOTAL,2002,3387,2102,5174,80,40021,8308,8287,26519,8864,4670,63787,151248
SIKKIM,TOTAL,2002,20,12,18,0,199,17,51,50,20,7,170,485
TAMIL NADU,TOTAL,2002,3892,1068,2002,201,43696,5102,2426,25150,4890,10125,88680,166942
TRIPURA,TOTAL,2002,240,216,256,29,788,220,39,518,380,46,849,3075
UTTAR PRADESH,TOTAL,2002,14351,2830,6860,611,53804,5521,7891,13947,11604,7313,48569,146037
UTTARAKHAND,TOTAL,2002,588,178,396,38,3461,382,465,760,625,440,2295,7976
WEST BENGAL,TOTAL,2002,2397,1518,1662,850,25790,2575,1864,3112,5341,2703,25189,58962
A & N ISLANDS,TOTAL,2002,21,4,4,1,154,13,15,97,24,0,328,608
CHANDIGARH,TOTAL,2002,73,36,108,2,3656,83,221,107,121,7,1111,3806
D & N HAVELI,TOTAL,2002,13,8,18,3,189,7,22,29,6,0,142,349
DAMAN & DIU,TOTAL,2002,11,0,6,2,169,18,15,18,3,0,78,261
DELHI UT,TOTAL,2002,1039,806,2646,114,36112,196,2588,1851,844,416,20876,49137
LAKSHADWEEP,TOTAL,2002,0,2,0,0,33,20,0,5,1,0,5,53
PUDUCHERRY,TOTAL,2002,74,12,20,2,1187,215,45,1093,99,190,2042,4437
ANDHRA PRADESH,TOTAL,2003,4492,1892,2970,181,56526,3377,8998,41545,15052,8515,39242,156951
ARUNACHAL PRADESH,TOTAL,2003,100,62,136,37,1053,17,56,427,57,0,585,2061
ASSAM,TOTAL,2003,1724,2190,3256,497,14179,4017,1563,4952,2752,2086,9227,38195
BIHAR,TOTAL,2003,7609,1970,4854,1341,25697,8698,3144,8884,3525,2574,37503,92263
CHHATTISGARH,TOTAL,2003,1340,1796,354,154,12292,854,512,3653,2266,1158,19315,38449
GOA,TOTAL,2003,65,62,28,5,1206,65,169,198,52,164,739,2244
GUJARAT,TOTAL,2003,1621,472,2088,352,45719,2340,4123,12611,4552,3536,46879,103709
HARYANA,TOTAL,2003,1224,706,776,253,14444,761,1516,4153,3486,971,16654,38612
HIMACHAL PRADESH,TOTAL,2003,204,252,226,8,1980,731,196,1385,495,463,6937,12011
JAMMU & KASHMIR,TOTAL,2003,2174,422,1424,23,5578,1495,545,310,1332,378,10424,21233
JHARKHAND,TOTAL,2003,2548,1424,974,739,10642,2628,749,3062,1247,642,12902,32203
KARNATAKA,TOTAL,2003,2805,642,1062,285,35276,6199,3373,21913,3567,172,52143,112405
KERALA,TOTAL,2003,1226,788,378,161,14825,7211,3513,17696,4978,35,53487,98824
MADHYA PRADESH,TOTAL,2003,4843,5476,1774,294,55306,3597,1809,29358,11139,3778,97751,191078
MAHARASHTRA,TOTAL,2003,4297,2536,1852,763,90184,6902,6827,29205,9163,9378,42491,164306
MANIPUR,TOTAL,2003,355,36,240,3,578,120,99,324,48,4,1120,2537
MEGHALAYA,TOTAL,2003,252,80,98,84,1013,21,50,106,18,41,355,1669
MIZORAM,TOTAL,2003,85,108,16,5,3114,26,91,142,91,11,1132,3456
NAGALAND,TOTAL,2003,133,28,76,19,629,13,21,48,7,41,234,976
ODISHA,TOTAL,2003,2446,1450,954,208,14554,1745,1202,4759,3425,2497,20602,47281
PUNJAB,TOTAL,2003,1464,760,928,147,8598,71,3522,4124,1642,2226,9316,28756
RAJASTHAN,TOTAL,2003,3300,2100,4476,77,39639,4836,8185,26173,8871,5074,62592,145579
SIKKIM,TOTAL,2003,24,20,0,2,181,12,22,56,26,18,157,443
TAMIL NADU,TOTAL,2003,3462,1114,1758,138,41789,4497,2274,30228,4679,9112,77784,157186
TRIPURA,TOTAL,2003,341,228,292,36,788,357,31,534,394,109,940,3514
UTTAR PRADESH,TOTAL,2003,10602,1822,4416,513,37506,2548,4883,7760,10016,4428,29449,95073
UTTARAKHAND,TOTAL,2003,535,214,342,29,3453,425,525,687,644,362,2353,7923
WEST BENGAL,TOTAL,2003,2309,2004,1804,1100,26166,2683,2065,4172,6535,2300,24553,61174
